"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"DUREA000","All causes","JOUPERNB","Days","AUS","Australia","1993","1993",6.6,,
"DUREA000","All causes","JOUPERNB","Days","AUS","Australia","1994","1994",6.5,,
"DUREA000","All causes","JOUPERNB","Days","AUS","Australia","1995","1995",6.8,,
"DUREA000","All causes","JOUPERNB","Days","AUS","Australia","1996","1996",6.8,,
"DUREA000","All causes","JOUPERNB","Days","AUS","Australia","1997","1997",6.7,,
"DUREA000","All causes","JOUPERNB","Days","AUS","Australia","1998","1998",6.6,,
"DUREA000","All causes","JOUPERNB","Days","AUS","Australia","1999","1999",6.6,,
"DUREA000","All causes","JOUPERNB","Days","AUS","Australia","2000","2000",6.4,,
"DUREA000","All causes","JOUPERNB","Days","AUS","Australia","2001","2001",6.5,,
"DUREA000","All causes","JOUPERNB","Days","AUS","Australia","2002","2002",6.5,,
"DUREA000","All causes","JOUPERNB","Days","AUS","Australia","2003","2003",6.3,,
"DUREA000","All causes","JOUPERNB","Days","AUS","Australia","2004","2004",6.3,,
"DUREA000","All causes","JOUPERNB","Days","AUS","Australia","2005","2005",6.2,,
"DUREA000","All causes","JOUPERNB","Days","AUS","Australia","2006","2006",6.2,,
"DUREA000","All causes","JOUPERNB","Days","AUS","Australia","2007","2007",6.2,,
"DUREA000","All causes","JOUPERNB","Days","AUS","Australia","2008","2008",6,,
"DUREA000","All causes","JOUPERNB","Days","AUS","Australia","2009","2009",5.9,,
"DUREA000","All causes","JOUPERNB","Days","AUS","Australia","2010","2010",5.8,,
"DUREA000","All causes","JOUPERNB","Days","AUS","Australia","2011","2011",5.8,,
"DUREA000","All causes","JOUPERNB","Days","AUS","Australia","2012","2012",5.7,,
"DUREA000","All causes","JOUPERNB","Days","AUS","Australia","2013","2013",5.5,,
"DUREA000","All causes","JOUPERNB","Days","AUS","Australia","2014","2014",5.5,,
"DUREA000","All causes","JOUPERNB","Days","CAN","Canada","1985","1985",10.4,,
"DUREA000","All causes","JOUPERNB","Days","CAN","Canada","1986","1986",10.3,,
"DUREA000","All causes","JOUPERNB","Days","CAN","Canada","1987","1987",10.5,,
"DUREA000","All causes","JOUPERNB","Days","CAN","Canada","1988","1988",10.4,,
"DUREA000","All causes","JOUPERNB","Days","CAN","Canada","1989","1989",10.2,,
"DUREA000","All causes","JOUPERNB","Days","CAN","Canada","1990","1990",10.2,,
"DUREA000","All causes","JOUPERNB","Days","CAN","Canada","1991","1991",10,,
"DUREA000","All causes","JOUPERNB","Days","CAN","Canada","1992","1992",9.9,,
"DUREA000","All causes","JOUPERNB","Days","CAN","Canada","1993","1993",9.8,,
"DUREA000","All causes","JOUPERNB","Days","CAN","Canada","1994","1994",7.4,"B","Break"
"DUREA000","All causes","JOUPERNB","Days","CAN","Canada","1995","1995",7.2,,
"DUREA000","All causes","JOUPERNB","Days","CAN","Canada","1996","1996",7.1,,
"DUREA000","All causes","JOUPERNB","Days","CAN","Canada","1997","1997",7,,
"DUREA000","All causes","JOUPERNB","Days","CAN","Canada","1998","1998",7,,
"DUREA000","All causes","JOUPERNB","Days","CAN","Canada","1999","1999",7.1,,
"DUREA000","All causes","JOUPERNB","Days","CAN","Canada","2000","2000",7.2,,
"DUREA000","All causes","JOUPERNB","Days","CAN","Canada","2001","2001",7.3,,
"DUREA000","All causes","JOUPERNB","Days","CAN","Canada","2002","2002",7.4,,
"DUREA000","All causes","JOUPERNB","Days","CAN","Canada","2003","2003",7.3,,
"DUREA000","All causes","JOUPERNB","Days","CAN","Canada","2004","2004",7.3,,
"DUREA000","All causes","JOUPERNB","Days","CAN","Canada","2005","2005",7.2,,
"DUREA000","All causes","JOUPERNB","Days","CAN","Canada","2006","2006",7.4,,
"DUREA000","All causes","JOUPERNB","Days","CAN","Canada","2007","2007",7.5,,
"DUREA000","All causes","JOUPERNB","Days","CAN","Canada","2008","2008",7.7,,
"DUREA000","All causes","JOUPERNB","Days","CAN","Canada","2009","2009",7.7,,
"DUREA000","All causes","JOUPERNB","Days","CAN","Canada","2010","2010",7.7,,
"DUREA000","All causes","JOUPERNB","Days","CAN","Canada","2011","2011",7.6,,
"DUREA000","All causes","JOUPERNB","Days","CAN","Canada","2012","2012",7.6,,
"DUREA000","All causes","JOUPERNB","Days","CAN","Canada","2013","2013",8.2,"B","Break"
"DUREA000","All causes","JOUPERNB","Days","CAN","Canada","2014","2014",8.2,,
"DUREA000","All causes","JOUPERNB","Days","CAN","Canada","2015","2015",8,,
"DUREA000","All causes","JOUPERNB","Days","NOR","Norway","1986","1986",8.2,,
"DUREA000","All causes","JOUPERNB","Days","NOR","Norway","1988","1988",7.6,,
"DUREA000","All causes","JOUPERNB","Days","NOR","Norway","1989","1989",7.4,,
"DUREA000","All causes","JOUPERNB","Days","NOR","Norway","1990","1990",7.5,,
"DUREA000","All causes","JOUPERNB","Days","NOR","Norway","1991","1991",7.3,,
"DUREA000","All causes","JOUPERNB","Days","NOR","Norway","1992","1992",7.2,,
"DUREA000","All causes","JOUPERNB","Days","NOR","Norway","1993","1993",6.8,,
"DUREA000","All causes","JOUPERNB","Days","NOR","Norway","1994","1994",6.7,,
"DUREA000","All causes","JOUPERNB","Days","NOR","Norway","1995","1995",6.6,,
"DUREA000","All causes","JOUPERNB","Days","NOR","Norway","1996","1996",6.5,,
"DUREA000","All causes","JOUPERNB","Days","NOR","Norway","1997","1997",6.4,,
"DUREA000","All causes","JOUPERNB","Days","NOR","Norway","1998","1998",6.2,,
"DUREA000","All causes","JOUPERNB","Days","NOR","Norway","1999","1999",6.1,,
"DUREA000","All causes","JOUPERNB","Days","NOR","Norway","2000","2000",6,,
"DUREA000","All causes","JOUPERNB","Days","NOR","Norway","2001","2001",5.8,,
"DUREA000","All causes","JOUPERNB","Days","NOR","Norway","2002","2002",5.7,,
"DUREA000","All causes","JOUPERNB","Days","NOR","Norway","2003","2003",5.4,,
"DUREA000","All causes","JOUPERNB","Days","NOR","Norway","2004","2004",5.2,,
"DUREA000","All causes","JOUPERNB","Days","NOR","Norway","2005","2005",5.1,,
"DUREA000","All causes","JOUPERNB","Days","NOR","Norway","2006","2006",5,,
"DUREA000","All causes","JOUPERNB","Days","NOR","Norway","2007","2007",5,,
"DUREA000","All causes","JOUPERNB","Days","NOR","Norway","2008","2008",4.8,,
"DUREA000","All causes","JOUPERNB","Days","NOR","Norway","2009","2009",4.6,,
"DUREA000","All causes","JOUPERNB","Days","NOR","Norway","2010","2010",4.5,,
"DUREA000","All causes","JOUPERNB","Days","NOR","Norway","2011","2011",6,"B","Break"
"DUREA000","All causes","JOUPERNB","Days","NOR","Norway","2012","2012",5.7,,
"DUREA000","All causes","JOUPERNB","Days","NOR","Norway","2013","2013",5.6,,
"DUREA000","All causes","JOUPERNB","Days","NOR","Norway","2014","2014",5.6,,
"DUREA000","All causes","JOUPERNB","Days","GBR","United Kingdom","2000","2000",9.5,,
"DUREA000","All causes","JOUPERNB","Days","GBR","United Kingdom","2001","2001",9.4,,
"DUREA000","All causes","JOUPERNB","Days","GBR","United Kingdom","2002","2002",9.3,,
"DUREA000","All causes","JOUPERNB","Days","GBR","United Kingdom","2003","2003",8.8,,
"DUREA000","All causes","JOUPERNB","Days","GBR","United Kingdom","2004","2004",8.7,,
"DUREA000","All causes","JOUPERNB","Days","GBR","United Kingdom","2005","2005",8.5,,
"DUREA000","All causes","JOUPERNB","Days","GBR","United Kingdom","2006","2006",8.2,,
"DUREA000","All causes","JOUPERNB","Days","GBR","United Kingdom","2007","2007",7.7,,
"DUREA000","All causes","JOUPERNB","Days","GBR","United Kingdom","2008","2008",7.7,,
"DUREA000","All causes","JOUPERNB","Days","GBR","United Kingdom","2009","2009",7.5,,
"DUREA000","All causes","JOUPERNB","Days","GBR","United Kingdom","2010","2010",7.4,,
"DUREA000","All causes","JOUPERNB","Days","GBR","United Kingdom","2011","2011",7.1,,
"DUREA000","All causes","JOUPERNB","Days","GBR","United Kingdom","2012","2012",7,,
"DUREA000","All causes","JOUPERNB","Days","GBR","United Kingdom","2013","2013",7,,
"DUREA000","All causes","JOUPERNB","Days","GBR","United Kingdom","2014","2014",6.9,,
"DUREA000","All causes","JOUPERNB","Days","GBR","United Kingdom","2015","2015",6.8,,
"DUREA000","All causes","JOUPERNB","Days","USA","United States","1990","1990",6.4,,
"DUREA000","All causes","JOUPERNB","Days","USA","United States","1991","1991",6.4,,
"DUREA000","All causes","JOUPERNB","Days","USA","United States","1992","1992",6.2,,
"DUREA000","All causes","JOUPERNB","Days","USA","United States","1993","1993",6,,
