VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,AUS,Australia,1985,1985,6.24,B,Break
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,AUS,Australia,1987,1987,5.82,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,AUS,Australia,1989,1989,5.43,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,AUS,Australia,1991,1991,4.92,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,AUS,Australia,1992,1992,4.65,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,AUS,Australia,1993,1993,4.68,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,AUS,Australia,1994,1994,4.59,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,AUS,Australia,1995,1995,4.58,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,AUS,Australia,1996,1996,4.38,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,AUS,Australia,1997,1997,4.28,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,AUS,Australia,1998,1998,4.17,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,AUS,Australia,1999,1999,4.07,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,AUS,Australia,2000,2000,4.04,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,AUS,Australia,2001,2001,3.95,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,AUS,Australia,2002,2002,3.93,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,AUS,Australia,2003,2003,3.97,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,AUS,Australia,2004,2004,4,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,AUS,Australia,2005,2005,3.9,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,AUS,Australia,2006,2006,3.93,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,AUS,Australia,2008,2008,3.82,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,AUS,Australia,2009,2009,3.77,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,AUS,Australia,2010,2010,3.78,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,AUS,Australia,2011,2011,3.79,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,AUS,Australia,2012,2012,3.75,E,Estimated value
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,AUS,Australia,2013,2013,3.74,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,AUS,Australia,2014,2014,3.79,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,CAN,Canada,1985,1985,6.75,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,CAN,Canada,1986,1986,6.7,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,CAN,Canada,1987,1987,6.61,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,CAN,Canada,1988,1988,6.49,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,CAN,Canada,1989,1989,6.34,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,CAN,Canada,1990,1990,5.99,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,CAN,Canada,1991,1991,5.76,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,CAN,Canada,1992,1992,5.51,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,CAN,Canada,1993,1993,5.41,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,CAN,Canada,1995,1995,4.7,B,Break
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,CAN,Canada,1996,1996,4.57,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,CAN,Canada,1997,1997,4.55,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,CAN,Canada,1998,1998,4.38,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,CAN,Canada,1999,1999,3.92,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,CAN,Canada,2000,2000,3.77,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,CAN,Canada,2001,2001,3.69,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,CAN,Canada,2002,2002,3.64,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,CAN,Canada,2003,2003,3.5,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,CAN,Canada,2004,2004,3.44,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,CAN,Canada,2005,2005,3.1,B,Break
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,CAN,Canada,2006,2006,3.02,B,Break
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,CAN,Canada,2007,2007,2.96,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,CAN,Canada,2008,2008,2.85,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,CAN,Canada,2009,2009,2.8,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,CAN,Canada,2010,2010,2.78,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,CAN,Canada,2011,2011,2.8,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,CAN,Canada,2012,2012,2.78,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,CAN,Canada,2013,2013,2.71,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,CAN,Canada,2014,2014,2.67,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,CAN,Canada,2015,2015,2.61,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,CAN,Canada,2016,2016,2.58,P,Provisional value
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,NOR,Norway,1985,1985,5.97,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,NOR,Norway,1986,1986,5.87,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,NOR,Norway,1987,1987,5.75,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,NOR,Norway,1988,1988,5.4,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,NOR,Norway,1989,1989,4.96,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,NOR,Norway,1990,1990,4.67,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,NOR,Norway,1991,1991,4.35,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,NOR,Norway,1992,1992,4.21,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,NOR,Norway,1993,1993,4.12,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,NOR,Norway,1994,1994,4.08,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,NOR,Norway,1995,1995,4.02,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,NOR,Norway,1996,1996,3.97,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,NOR,Norway,1997,1997,3.95,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,NOR,Norway,1998,1998,3.92,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,NOR,Norway,1999,1999,3.89,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,NOR,Norway,2000,2000,3.8,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,NOR,Norway,2001,2001,3.82,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,NOR,Norway,2002,2002,4.99,B,Break
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,NOR,Norway,2003,2003,4.99,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,NOR,Norway,2004,2004,5.25,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,NOR,Norway,2005,2005,5.16,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,NOR,Norway,2006,2006,5.03,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,NOR,Norway,2007,2007,4.86,,
