OSHPD_ID,FACILITY_NAME,LICENSE_NUM,FACILITY_LEVEL_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,COUNTY_NAME,ER_SERVICE_LEVEL_DESC,TOTAL_NUMBER_BEDS,LICENSE_CATEGORY_DESC,Hospital_Business_Phone,Chief_Executive_Officer,Title,Hospital_Web-Site_Address,Name_of_Owner,Software_Version,Active_Medical_Staff_Hospital_Based_Board_Certified_Anesthesiology,Active_Medical_Staff_Hospital_Based_Board_Certified_General/Family_Practice,Active_Medical_Staff_Hospital_Based_Board_Certified_Total,Type_of_Control_Church,Type_of_Control_Non-Profit_Corporation,Type_of_Control_Non-Profit_Other,Type_of_Control_Investor_-_Individual,Type_of_Control_Investor_-_Partnership,Type_of_Control_Investor_-_Corporation,Type_of_Control_State,Type_of_Control_County,Type_of_Control_City/County,Type_of_Control_City,Type_of_Control_District,Procedures_Total_Cardiology_Services,Procedures_Total_Gastro-Intestinal_Services,Sessions_Total_Physical_Therapy,Sessions_Total_Occupational_Therapy,Discharges_Total,Visits_Outpatient_Emergency_Services,Outpatient_Visits_Medi-Cal_-_Managed_Care_Emergency_Svcs.__(incl._Psych_ER),Outpatient_Visits_Medi-Cal_-_Managed_Care_Total,Balance_Sheet_Assets_Total_Assets,Income_Statement_Net_Patient_Revenue,Income_Statement_Other_Operating_Revenue,Income_Statement_Total_Operating_Revenue,Income_Statement_Operating_Expenses_Administrative_Services,Income_Statement_Total_Operating_Expenses,Income_Statement_Net_from_Operations,Summary_of_Revenue_and_Costs_Average_Patient_Care_Costs_Per_Unit_Medical/Surgical_Intensive_Care,Summary_of_Revenue_and_Costs_Average_Patient_Care_Costs_Per_Unit_Magnetic_Resonance_Imaging,Summary_of_Revenue_and_Costs_Average_Patient_Care_Costs_Per_Unit_Computed_Tomographic_Scanner,Summary_of_Revenue_and_Costs_Gross_Revenue_Radiology_-_Diagnostic,Summary_of_Revenue_and_Costs_Gross_Revenue_Drugs_Sold_to_Patients,Summary_of_Revenue_and_Costs_Gross_Revenue_Total_Ancillary_Services,Summary_of_Revenue_and_Costs_Gross_Revenue_Total_Operating_Revenue_and_Expense,Average_Hourly_Rate_Management_and_Supervision_Total_Daily_Hospital_Services,Average_Hourly_Rate_Management_and_Supervision_Emergency_Services,Average_Hourly_Rate_Registered_Nurses_Total_Daily_Hospital_Services,Average_Hourly_Rate_Registered_Nurses_Emergency_Services,Average_Hourly_Rate_Aides_and_Orderlies_Total_Daily_Hospital_Services,Average_Hourly_Rate_Clerical_and_Other_Administrative_Emergency_Services,AMI_RAMR,AMI_Deaths,AMI_Numcase,STROKE_RAMR,STROKE_Death,STROKE_NumCase,HFAIL_RAMR,HFAIL_deaths,HFAIL_NumCase
106074097,KAISER FOUNDATION HOSPITAL - ANTIOCH,550000614,Parent Facility,4501 SAND CREEK ROAD,ANTIOCH,94531,CONTRA COSTA,Emergency - Basic,150,General Acute Care Hospital,(510) 987-3380,BERNARD TYSON,CHAIRMAN,WWW.KP.ORG,KAISER FOUNDATION HOSPITAL,HFS,41,19,664,,1,,,,,,,,,,,,12882,,8017,42468,6038,6250,,,,,,,,,,,,,,,,,,,,,1.1,1,46,7.2,24,161,1.3,5,194
106014132,KAISER FOUNDATION HOSPITAL - FREMONT,140000053,Parent Facility,39400 PASEO PADRE PARKWAY,FREMONT,94538,ALAMEDA,Emergency - Basic,106,General Acute Care Hospital,(510) 987-3380,BERNARD TYSON,CHAIRMAN,WWW.KP.ORG,KAISER FOUNDATION HOSPITALS,HFS,27,,487,,1,,,,,,,,,,,,15239,,7246,50942,5879,6246,,,,,,,,,,,,,,,,,,,,,2.2,1,42,8.4,10,70,3.9,9,109
106100797,ADVENTIST MEDICAL CENTER - REEDLEY,040000149,Parent Facility,372 WEST CYPRESS AVENUE,REEDLEY,93654,FRESNO,Emergency - Standby,49,General Acute Care Hospital,(559) 638-8155,WAYNE FERCH,CEO,WWW.ADVENTISTHEALTHCV.COM,ADVENTIST HEALTH,HFS,,3,11,1,,,,,,,,,,,,,22140,,2051,23049,11394,97245,53216925,52705749,1991902,54697651,8525824,57314304,-2616653,,,275.37,14715054,5868839,79149657,159081637,52.58,62.36,49.46,50.91,15.18,15.9,0,0,5,0,0,14,0,0,10
106190400,HUNTINGTON MEMORIAL HOSPITAL,930000372,Parent Facility,100 W. CALIFORNIA BOULEVARD,PASADENA,91105,LOS ANGELES,Emergency - Basic,619,General Acute Care Hospital,(626) 397-5000,STEPHEN A. RALPH,CHIEF EXEC OFFICER,WWW.HUNTINGTONHOSPITAL.COM,"PASADENA HOSPITAL ASSOCIATION, LTD",HFS,52,,129,,1,,,,,,,,,,58078,3065,120791,31264,25491,47256,11585,11967,828899544,513846444,24576089,538422533,97129689,547675820,-9253287,2459.86,558.2,265.14,78817788,257612157,1552190428,2223039612,60.52,56.23,51.45,53.42,19.5,20.89,5.4,14,224,6.5,25,344,1.6,9,374
106554011,SONORA REGIONAL MEDICAL CENTER - GREENLEY,030000094,Parent Facility,1000 GREENLEY ROAD,SONORA,95370,TUOLUMNE,Emergency - Basic,72,General Acute Care Hospital,(209) 536-5000,ANDREW JAHN,PRESIDENT AND CEO,WWW.SONORAMEDICALCENTER.ORG,ADVENTIST HEALTH,HFS,5,,44,1,,,,,,,,,,,13424,3356,82403,2732,4931,27565,7684,28992,162182357,223809905,2844320,226654225,24119100,208230487,18423738,2193.54,276.28,196.79,24937519,132034577,622422609,846482537,61.18,71.27,49.12,50.85,17.15,19.7,0,0,16,6.6,5,70,1.6,3,114
106314024,KAISER FOUNDATION HOSPITAL - ROSEVILLE,550001681,Parent Facility,1600 EUREKA ROAD,ROSEVILLE,95661,PLACER,Emergency - Basic,340,General Acute Care Hospital,(916) 784-4000,BERNARD TYSON,CHAIRMAN,WWW.KP.ORG,KAISER FOUNDATION HOSPITALS,HFS,33,116,1119,,1,,,,,,,,,,,,26990,,17990,81627,9846,10700,,,,,,,,,,,,,,,,,,,,,5.5,14,230,10.8,23,237,1.8,12,360
106190687,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL,930000146,Parent Facility,1250 16TH STREET,SANTA MONICA,90404,LOS ANGELES,Emergency - Basic,265,General Acute Care Hospital,(310) 319-4000,"DAVID FEINBERG, M.D.",CEO,WWW.MEDNET.UCLA.EDU,REGENTS OF THE UNIVERSITY OF CALIFORNIA,HFS,64,91,973,,1,,,,,,,,,,28104,6474,114078,,16779,32594,5459,7056,818073087,416963912,11551945,428515857,48068712,391791520,36724337,2817.27,267.61,178.04,35110316,89397177,588521893,1124220182,67.29,76.5,57.5,54.28,22.19,20.56,3.8,8,128,2.9,2,90,1,5,266
106301209,HUNTINGTON BEACH HOSPITAL,060000124,Parent Facility,17772 BEACH BOULEVARD,HUNTINGTON BEACH,92647,ORANGE,Emergency - Basic,131,General Acute Care Hospital,(714) 942-1473,VIRG NARBUTAS,CEO,WWW.HBHOSPITAL.COM,"PRIME HEALTHCARE SERVICES, INC.",HFS,2,,12,,,1,,,,,,,,,7730,457,9559,,3454,14385,4936,5031,94951132,45597518,250704,45848222,10978507,48615845,-2767623,2023.09,1005,200.16,4032655,20771385,103172653,204026657,50.81,51.96,38.71,40.73,14.92,16.69,1.7,1,32,0,0,20,1.9,4,83
106190636,CITRUS VALLEY MEDICAL CENTER - QV CAMPUS,930000131,Parent Facility,1115 SOUTH SUNSET AVENUE,WEST COVINA,91790,LOS ANGELES,Emergency - Basic,325,General Acute Care Hospital,(626) 858-8541,ROBERT CURRY,PRESIDENT/CEO,CVHP.ORG,CITRUS VALLEY HEALTH PARTNERS,HFS,,,,,1,,,,,,,,,,47565,6387,79197,39396,24974,94424,36047,42473,341598396,391308623,5970175,397278798,82589087,370373995,26904803,2164.92,534.31,260.67,50304445,140596490,816124283,1192057240,60.19,66.44,52.75,53.52,16.59,20.26,4.1,3,31,8.3,21,244,1.4,5,261
106331194,HEMET VALLEY MEDICAL CENTER,250000145,Parent Facility,1117 EAST DEVONSHIRE,HEMET,92543,RIVERSIDE,Emergency - Basic,327,General Acute Care Hospital,(951) 652-2811,JOEL M BERGENFELD,CEO,WWW.HEMETVALLEYMEDICALCENTER.COM,"PHYSICIANS FOR HEALTHY HOSPITALS, INC.",HFS,5,,25,,,,,,1,,,,,,29710,1479,30528,3642,11023,49953,18693,20918,58285570,133752605,1566885,135319490,19878073,128082435,7237055,2100.18,988.36,71.7,20550666,46900636,532318116,811644914,51.64,59.93,43.71,47.79,16.33,16.74,3.9,7,70,5.8,3,76,1.4,7,350
