VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags
TOBATBCT,Tobacco consumption,PDLSTOTX,% of population aged 15+ who are daily smokers,AUS,Australia,2013,2013,13,,
TOBATBCT,Tobacco consumption,PDLSTOTX,% of population aged 15+ who are daily smokers,AUS,Australia,2016,2016,12.4,,
TOBATBCT,Tobacco consumption,PDLSTOTX,% of population aged 15+ who are daily smokers,CAN,Canada,2013,2013,14.9,,
TOBATBCT,Tobacco consumption,PDLSTOTX,% of population aged 15+ who are daily smokers,CAN,Canada,2014,2014,14,,
TOBATBCT,Tobacco consumption,PDLSTOTX,% of population aged 15+ who are daily smokers,NOR,Norway,2013,2013,15,,
TOBATBCT,Tobacco consumption,PDLSTOTX,% of population aged 15+ who are daily smokers,NOR,Norway,2014,2014,13,,
TOBATBCT,Tobacco consumption,PDLSTOTX,% of population aged 15+ who are daily smokers,NOR,Norway,2015,2015,13,,
TOBATBCT,Tobacco consumption,PDLSTOTX,% of population aged 15+ who are daily smokers,NOR,Norway,2016,2016,12,,
TOBATBCT,Tobacco consumption,PDLSTOTX,% of population aged 15+ who are daily smokers,GBR,United Kingdom,2013,2013,19,,
TOBATBCT,Tobacco consumption,PDLSTOTX,% of population aged 15+ who are daily smokers,GBR,United Kingdom,2014,2014,19,,
TOBATBCT,Tobacco consumption,PDLSTOTX,% of population aged 15+ who are daily smokers,GBR,United Kingdom,2015,2015,17.8,,
TOBATBCT,Tobacco consumption,PDLSTOTX,% of population aged 15+ who are daily smokers,GBR,United Kingdom,2016,2016,16.1,,
TOBATBCT,Tobacco consumption,PDLSTOTX,% of population aged 15+ who are daily smokers,USA,United States,2013,2013,13.7,,
TOBATBCT,Tobacco consumption,PDLSTOTX,% of population aged 15+ who are daily smokers,USA,United States,2014,2014,12.9,,
TOBATBCT,Tobacco consumption,PDLSTOTX,% of population aged 15+ who are daily smokers,USA,United States,2015,2015,11.4,,
