HF,Financing scheme,HC,Function,HP,Provider,MEASURE,Measure,LOCATION,Country,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,1985,1985,PC,Percentage,0,Units,,,6.067,,
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,1986,1986,PC,Percentage,0,Units,,,6.264,,
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,1987,1987,PC,Percentage,0,Units,,,6.099,,
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,1988,1988,PC,Percentage,0,Units,,,6.054,,
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,1989,1989,PC,Percentage,0,Units,,,6.107,,
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,1990,1990,PC,Percentage,0,Units,,,6.465,,
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,1991,1991,PC,Percentage,0,Units,,,6.759,,
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,1992,1992,PC,Percentage,0,Units,,,6.822,,
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,1993,1993,PC,Percentage,0,Units,,,6.835,,
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,1994,1994,PC,Percentage,0,Units,,,6.867,,
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,1995,1995,PC,Percentage,0,Units,,,6.908,,
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,1996,1996,PC,Percentage,0,Units,,,7.049,,
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,1997,1997,PC,Percentage,0,Units,,,7.073,,
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,1998,1998,PC,Percentage,0,Units,,,7.234,D,Difference in methodology
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,1999,1999,PC,Percentage,0,Units,,,7.327,D,Difference in methodology
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,2000,2000,PC,Percentage,0,Units,,,7.603,D,Difference in methodology
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,2001,2001,PC,Percentage,0,Units,,,7.696,D,Difference in methodology
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,2002,2002,PC,Percentage,0,Units,,,7.887,D,Difference in methodology
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,2003,2003,PC,Percentage,0,Units,,,7.894,D,Difference in methodology
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,2004,2004,PC,Percentage,0,Units,,,8.105,D,Difference in methodology
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,2005,2005,PC,Percentage,0,Units,,,7.974,D,Difference in methodology
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,2006,2006,PC,Percentage,0,Units,,,7.983,D,Difference in methodology
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,2007,2007,PC,Percentage,0,Units,,,8.057,D,Difference in methodology
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,2008,2008,PC,Percentage,0,Units,,,8.262,D,Difference in methodology
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,2009,2009,PC,Percentage,0,Units,,,8.588,D,Difference in methodology
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,2010,2010,PC,Percentage,0,Units,,,8.468,D,Difference in methodology
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,2011,2011,PC,Percentage,0,Units,,,8.586,D,Difference in methodology
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,2012,2012,PC,Percentage,0,Units,,,8.726,D,Difference in methodology
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,2013,2013,PC,Percentage,0,Units,,,8.806,D,Difference in methodology
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,2014,2014,PC,Percentage,0,Units,,,9.079,D,Difference in methodology
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,2015,2015,PC,Percentage,0,Units,,,9.445,D; E,Difference in methodology; Estimated value
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,AUS,Australia,2016,2016,PC,Percentage,0,Units,,,9.59,D; E,Difference in methodology; Estimated value
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,CAN,Canada,1985,1985,PC,Percentage,0,Units,,,7.588,,
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,CAN,Canada,1986,1986,PC,Percentage,0,Units,,,7.83,,
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,CAN,Canada,1987,1987,PC,Percentage,0,Units,,,7.771,,
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,CAN,Canada,1988,1988,PC,Percentage,0,Units,,,7.769,,
