VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,1960,1960,70.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,1961,1961,71.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,1962,1962,71,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,1963,1963,71.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,1964,1964,70.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,1965,1965,71,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,1966,1966,70.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,1967,1967,71.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,1968,1968,70.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,1969,1969,71.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,1970,1970,70.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,1971,1971,71.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,1972,1972,72,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,1973,1973,72.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,1974,1974,71.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,1975,1975,72.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,1976,1976,72.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,1977,1977,73.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,1978,1978,73.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,1979,1979,74.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,1980,1980,74.6,,
