VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags
PATCTOTT,Total pharmaceutical sales,TCPPERMT,"/capita, US$ exchange rate",AUS,Australia,2013,2013,448.1,,
PATCTOTT,Total pharmaceutical sales,TCPPERMT,"/capita, US$ exchange rate",AUS,Australia,2014,2014,411.7,,
PATCTOTT,Total pharmaceutical sales,TCPPERMT,"/capita, US$ exchange rate",AUS,Australia,2015,2015,346.4,,
PATCTOTT,Total pharmaceutical sales,TCPPERMT,"/capita, US$ exchange rate",CAN,Canada,2013,2013,678.9,,
PATCTOTT,Total pharmaceutical sales,TCPPERMT,"/capita, US$ exchange rate",CAN,Canada,2014,2014,649,,
PATCTOTT,Total pharmaceutical sales,TCPPERMT,"/capita, US$ exchange rate",CAN,Canada,2015,2015,591.6,,
PATCTOTT,Total pharmaceutical sales,TCPPERMT,"/capita, US$ exchange rate",CAN,Canada,2016,2016,587.3,,
PATCTOTT,Total pharmaceutical sales,TCPPERMT,"/capita, US$ exchange rate",NOR,Norway,2013,2013,646.7,,
PATCTOTT,Total pharmaceutical sales,TCPPERMT,"/capita, US$ exchange rate",NOR,Norway,2014,2014,645.6,,
PATCTOTT,Total pharmaceutical sales,TCPPERMT,"/capita, US$ exchange rate",NOR,Norway,2015,2015,538.9,,
PATCTOTT,Total pharmaceutical sales,TCPPERMT,"/capita, US$ exchange rate",NOR,Norway,2016,2016,560.2,,
PATCTOTT,Total pharmaceutical sales,TCPPERMT,"/capita, US$ exchange rate",GBR,United Kingdom,2013,2013,356,,
PATCTOTT,Total pharmaceutical sales,TCPPERMT,"/capita, US$ exchange rate",GBR,United Kingdom,2014,2014,407.3,,
PATCTOTT,Total pharmaceutical sales,TCPPERMT,"/capita, US$ exchange rate",GBR,United Kingdom,2015,2015,414.9,,
PATCTOTT,Total pharmaceutical sales,TCPPERMT,"/capita, US$ exchange rate",GBR,United Kingdom,2016,2016,383.2,,
